やしな,八品
やしば,矢柴
やしま,谷嶋
やしま,八島
やしま,八嶋
やしま,八嶌
やしま,矢島
やしろ,屋城
やしろ,屋代
やしろ,家城
やしろ,社
やしろ,社城
やしろ,谷代
やしろ,八城
やしろ,八尋
やしろ,八代
やしろ,野城
やしろ,矢城
やしろ,矢代
やしろだ,八代田
やしろだい,八代醍
やじ,屋宜
やじ,屋地
やじ,家治
やじ,谷治
やじ,八道
やじ,矢治
やじおか,屋地岡
やじま,谷島
やじま,谷嶋
やじま,八島
やじま,矢島
やじま,矢嶋
やじま,矢嶌
やじん,夜陣
やす,安
やす,康
やす,八須
やす,夜須
やす,野洲
やす,矢須
やす,矢数
やすい,安威
やすい,安井
やすい,安居
やすい,康井
やすい,保位
やすい,保井
やすいけ,安池
やすいけ,保池
やすいわ,安岩
やすうみ,安海
やすうら,安浦
やすうら,保浦
やすえ,安恵
やすえ,安江
やすえ,泰江
やすえ,保江
やすえだ,安枝
やすお,安尾
やすお,保尾
やすおか,安岡
やすおか,安陵
やすおか,泰岡
やすおか,保岡
やすかがわ,安カ川
やすかがわ,安ヵ川
やすかがわ,安ヶ川
やすかた,安酸
やすかた,安方
やすかわ,安川
やすかわ,泰川
やすかわ,保川
やすがき,安垣
やすがた,安形
やすがひら,安ケ平
やすき,安喜
やすき,安木
やすき,保木
やすぎ,安木
やすぎ,安來
やすぎ,八杉
やすぎ,矢杉
やすくに,安国
やすくに,安國
やすくも,安雲
やすくら,安蔵
やすくら,保倉
やすぐち,安口
やすげ,矢菅
やすこうち,安河内
やすさか,安坂
やすざ,安座
やすざか,安坂
やすざき,安崎
やすざと,安里
やすざわ,安沢
やすざわ,安澤
やすざわ,保澤
やすし,安士
やすした,安下
やすしま,安嶋
やすじ,保地
やすじま,安島
やすじま,安嶋
やすじま,保嶋
やすずみ,安澄
やすずみ,安栖
やすた,安田
やすたか,安（はしご高）
やすたか,安高
やすたか,安酸
やすたけ,安竹
やすたけ,安武
やすたけ,保竹
やすたに,安谷
やすたにや,安谷屋
やすだ,安田
やすだ,家寿多
